Premise,Proof,Hypothesis,Correctness,Minimality,Useful Facts,"Hypothesis
Follows"
a biker with a blue jacket black pants and white helmet driving on dirt while people watch,"Fact: driving  turns.
Composition / Monotone: people watching someone drive

Fact: driving is for control of a vehicle.
Composition / Monotone: someone driving a vehicle is being watched by people watching

Fact: driving  steers.
Composition / Monotone: a person driving is being watched by others

Fact: mud is a dirt.
Composition / Monotone: a person driving is being watched by other people

Fact: driving  braking.
Composition / Monotone: a person is driving in front of others

",a person is driving in front of other people,5.0,2.0,1.0,2.0
a child is surrounded by a field of sunflowers,"Fact: some flowers are part of sunflowers.
Composition / Monotone: a child has flowers as a background

Fact: sunflowers are flowers.
Composition / Monotone: a child has flowers

Fact: sunflowers are a kind of flower.
Composition / Monotone: a kid has flowers

Fact: sunflowers bear flowers.
Composition / Monotone: a kid has flowers

",a kid and some flowers,0.0,1.0,0.0,0.0
a girl in a green coat walks down a rural road playing a flute,"Fact: a flute is used for playing music
Composition / Monotone: a person in green walks down a road

Fact: flutes range from to the length of the blade.
Composition / Monotone: a person in green walks down a road

",the country road has a walker wearing green,2.0,1.0,0.0,0.0
a nurse is listening to another womens heartbeat with a stethoscope,"Fact: women see doctors.
Composition / Monotone: there is a woman at a doctors office

Fact: some women are doctors.
Composition / Monotone: there is a woman in a doctors office

",a woman in the doctors office,2.0,1.0,2.0,2.0
picture of two men playing in a band one playing the drums and one playing a xylophone type of instrument in a dark room with two unrecognizable people watching in the background,"Fact: a xylophone is used for playing music.
Composition / Monotone: people are playing music

Fact: a xylophone is a type of percussion instrument
Composition / Monotone: people are making music

Fact: a xylophone is a musical instrument
Composition / Monotone: people are making music

",people are making music together,3.0,1.0,3.0,2.0
man in casual dark shirt and pants and hat dances with curlyhaired blond woman in short red dress and red high heels,"Fact: a hall is for dancing
Composition / Monotone: people dance in a room

Fact: a dance club is for dancing
Composition / Monotone: there is dancing in a room

Fact: a dance club is for dancing.
Composition / Monotone: there is dancing being done in a room

Fact: a rehearsing room is for dancing
Composition / Monotone: dancing is in a room

",dancing is going on a room,0.0,1.0,0.0,0.0
using a soccer ball for support a young boy in blue sits atop a park bench,"Fact: a boy is a young human.
Composition / Monotone: a child is in the park

Fact: a boy is a child.
Composition / Monotone: a child is playing in the park

",a child is playing in the park,1.0,2.0,1.0,1.0
the player in the white dribbles the ball while the player in the orange tries to stop him,"Fact: games are played be people.
Composition / Monotone: two people are playing with a ball

Fact: a player is a person who takes part in a game
Composition / Monotone: two people play ball

",two people are playing ball,2.0,1.0,2.0,2.0
women enjoying a game of table tennis,"Fact: another name for ping-pong is table tennis.
Composition / Monotone: women are playing ping pong

Fact: ping pong is a game
Composition / Monotone: women are playing ping pong

",women are playing ping pong,2.0,1.0,2.0,2.0
railroad workers working on the tracks at nighttime,"Fact: workers are people.
Composition / Monotone: a group of people are outside at night

Fact: workers include people.
Composition / Monotone: there are people outside at night

",there are people outside at night,2.0,1.0,1.0,2.0
an elderly woman wearing a skirt is picking out vegetables at a local market,"Fact: food consists of vegetables.
Composition / Monotone: the woman is shopping

",this woman is on a shopping trip,1.0,1.0,0.0,2.0
a man with glasses wearing a tuxedo and corsage stands near a man in a suit at a formal event,"Fact: men is taken to mean both all people and non-female people.
Composition / Monotone: two men are dressed up

Fact: guys are men.
Composition / Monotone: two men are dressed up

Fact: men are people.
Composition / Monotone: two men are dressed up and people are standing around

",two men standing together are dressed up,2.0,1.0,0.0,2.0
two men spar in martial arts gear,"Fact: men are male persons
Composition / Monotone: the people are wearing equipment

Fact: males are people.
Composition / Monotone: some people are wearing clothing

",there are multiple people present,2.0,2.0,1.0,1.0
a man and woman setup a camera,"Fact: woman is a someone.
Composition / Monotone: some humans setting up a device

",two people setup a device,1.0,1.0,1.0,2.0
a small quaint town all lit up during the holiday season,"Fact: has a lot of flourescent lights
Composition / Monotone: there are lights in the town

",there are lights in the town,1.0,1.0,1.0,2.0
a student in a green shirt is writing in a notebook,"Fact: a notebook is a book
Composition / Monotone: a person has a book

Fact: a notebook is a book.
Composition / Monotone: there is a person with a book

Fact: a notebook is a book with blank pages to write in
Composition / Monotone: a human with a book

Fact: a notebook is a small book with blank pages for writing notes in
Composition / Monotone: a person with a book

",a person with a book,4.0,1.0,1.0,2.0
a person in a large pink triangleshaped costume waves as a man and a woman dressed in matching brightlycolored striped and polkadotted outfits smile back,"Fact: a person can shake your hand
Composition / Monotone: there is one person in this picture

",the person is moving her hand,0.0,1.0,0.0,0.0
a big black poodle running on the grass with a toy in its mouth,"Fact: a toy dog is a dog
Composition / Monotone: a dog is playing outside

Fact: a poodle is a dog
Composition / Monotone: a dog is playing outside

",a dog is playing outside,2.0,1.0,1.0,2.0
a man rides a black motorcycle while wearing a helmet and a van rides beside him in the distance,"Fact: the distance that a bike is ridden is often measured in miles.
Composition / Monotone: a motorcycle and van are near eachother

Fact: miles are a distance people may travel
Composition / Monotone: a motorcycle and van are near each other

",a motorcycle and a van ride next to each other,2.0,1.0,0.0,0.0
female in a military uniform with her hair tied back,"Fact: ponytail is a hair.
Composition / Monotone: the female is wearing a ponytail

",the female is wearing a ponytail,0.0,1.0,1.0,0.0
three young men wearing backpacks shorts tshirts sandals and hats are standing together on a sandy surface with palm trees in the distance,"Fact: beaches are covered with sand
Composition / Monotone: a group of young men in beach clothes is standing together on the beach with palm trees

",a small group of men clad in summery clothing are standing on sandy palm tree lined beach,2.0,2.0,1.0,2.0
a team of men three in red shirts and two others in baseball jerseys resurface a baseball diamond with specialized tools,"Fact: baseball team members wear uniforms
Composition / Monotone: they are cleaning up the field

",a grounds crew maintain a park,2.0,2.0,0.0,2.0
five people standing on a stage getting ready to perform who are unrecognizable due to the lack of lighting,"Fact: some actors act in movies
Composition / Monotone: five actors are getting ready to act but they are not clearly visible due to lack of lighting

Fact: people can watch actors
Composition / Monotone: the actors are getting ready to act but they are not easily visible due to lack of lighting

Fact: a stage is for acting on
Composition / Monotone: actors are getting ready to act by the lack of lighting

",in a dim room several actors who can barely see each other are getting ready to act,4.0,3.0,3.0,2.0
a man wearing white turns to hit a yellow tennis ball,"Fact: when you swing you go back and forth
Composition / Monotone: he swings at the ball

Fact: a tennis player is a player
Composition / Monotone: a person takes a swing at a ball

Fact: a swing is an activity
Composition / Monotone: someone takes a swing at a ball

",someone takes a swing at a ball,4.0,2.0,2.0,2.0
two men stand in the road it almost appears to be some sort of movie set on a sunny day in california,"Fact: some humans are men.
Composition / Monotone: some humans standing

Fact: people see men.
Composition / Monotone: some people standing

",some people standing,3.0,1.0,1.0,2.0
an adventurous man navigates through the jungle with a long stick,"Fact: a guy is a man
Composition / Monotone: there is a person outside

",there is a person outside,2.0,1.0,1.0,2.0
a dog is running in the waves at the beach,"Fact: dog is a beast.
Composition / Monotone: a dog is running outside

",an animal is running outside,2.0,2.0,0.0,2.0
a bicyclist wearing white sunglasses and a white and black helmet,"Fact: sunglasses are spectacles.
Composition / Monotone: a human wearing glasses

Fact: sunglasses are worn to cover ones eyes
Composition / Monotone: a human wearing glasses

",a human wearing glasses,3.0,1.0,2.0,2.0
a group of women playing volleyball indoors,"Fact: women are people.
Composition / Monotone: people are inside

",people are inside,2.0,1.0,1.0,2.0
a man in a tiedyed shirt and jeans is sitting on a bench with a dog and a guitar on his lap as well as a harmonica near his mouth,"Fact: a mouth is part of a human
Composition / Monotone: a guy with a dog and musical instruments

Fact: mouth is a body part.
Composition / Monotone: a guy is holding a dog and various musical instruments

Fact: a mouth is for talking
Composition / Monotone: a guy is holding a dog and holding various musical instruments

Fact: a harmonica is a musical instrument
Composition / Monotone: a guy is holding a dog and holding musical instruments

",a guy is next to a dog while holding some musical instruments,4.0,3.0,3.0,2.0
a man wearing a stocking hat and has a beard is looking at the camera with two women sitting on the couch next to him,"Fact: camera is used for taking pictures.
Composition / Monotone: a man is taking pictures

Fact: a camera can takes pictures
Composition / Monotone: a man is taking pictures

",a man is taking pictures,3.0,1.0,1.0,2.0
fireworks light up the night as a man stands on stage,"Fact: a summit is a stage
Composition / Monotone: fireworks lit up the sky

",the fireworks were shot into the sky,2.0,2.0,0.0,2.0
a gray rally car is being driven by two adult males while a large white container is tied down on top of the roof,"Fact: men are a diverse group of individuals.
Composition / Monotone: two men are in a car

",two men are in a car,2.0,1.0,1.0,2.0
a group of people are looking at photographs on a wall and speaking to each other,"Fact: conversations are speaking.
Composition / Monotone: several people are talking to each other

Fact: a group of people sometimes talk to each other to decide things.
Composition / Monotone: many people are talking

",many people are having a conversation,3.0,1.0,1.0,2.0
a father and his daughter are riding a lawn mover down a street while dressed in american colors,"Fact: a lawn mower cuts grass
Composition / Monotone: two people are riding a lawn mower outside

Fact: a lawn mower can cuts grass
Composition / Monotone: two people riding a lawn mower outside

Fact: a lawn mower is a tool
Composition / Monotone: two people riding a lawn mower outside

Fact: people can come in all sorts of different colors
Composition / Monotone: two people riding a lawn mower outside

",two people ride a lawn mower outside,5.0,1.0,3.0,2.0
shirtless man with long pole navigates covered boat down a palm tree lined river past a hut,"Fact: a river is flowing water.
Composition / Monotone: a shirtless man is on the water

Fact: water is in a river
Composition / Monotone: a man with no shirt is out on the water

",a man without a shirt is on the water,3.0,1.0,1.0,2.0
two young ladies walking down the street together,"Fact: ladies are women.
Composition / Monotone: there are two women in this picture both are outside

",there are two woman in this picture and they are both outside,2.0,1.0,1.0,2.0
a man holds a rope for a boy whos about to climb a wall,"Fact: boy is a person.
Composition / Monotone: the man is holding the roping

Fact: a boy is a male
Composition / Monotone: man holds rop

Fact: a boy is male.
Composition / Monotone: a man holds a rop

Fact: a ball boy is a boy
Composition / Monotone: the man holds a rop

",there is a man holding a rop,5.0,1.0,2.0,2.0
two guys on a couch one is looking up the other is looking away with a cup in his hand,"Fact: a right hand is a hand
Composition / Monotone: one is looking up the other is looking away

",they are not looking in the same direction,2.0,2.0,0.0,2.0
nurses in a medical setting conversing over a plastic cup,"Fact: nurses look after patients in hospitals.
Composition / Monotone: there are people in medical settings

",the people work in the medical field,1.0,2.0,1.0,2.0
a man smiles while he shaves the head of another man,"Fact: guy is a man.
Composition / Monotone: a man is cutting another mans hair

Fact: a guy is a man
Composition / Monotone: a guy is cutting another mans hair

Fact: gentleman is a man.
Composition / Monotone: a guy is cutting another mens hair

Fact: hair is part of a head
Composition / Monotone: a guy is cutting another mens hair

Fact: hair is part of a head.
Composition / Monotone: a guy is cutting another mens hair

",a guy is cutting another mans hair,6.0,1.0,3.0,2.0
a man is holding a book standing in front of a chalkboard,"Fact: blackboard is a tool to supplement classroom instruction and to enhance communication.
Composition / Monotone: a person in a classroom

",a person is in a classroom teaching,1.0,2.0,1.0,2.0
while one man in the white cap is golfing three other men are in the middle of a conversation,"Fact: a shot is the result of activating a gun
Composition / Monotone: shots are made by three men during a conversation

Fact: shot is the past tense of shoot
Composition / Monotone: three men take shots during a conversation

",three men talk while their fourth takes a shot,0.0,1.0,1.0,2.0
women sit on a beach as they watch men bring in a fishing net filled with fish in front of them,"Fact: a net can catch a fish
Composition / Monotone: a group of people are near water

Fact: women are men.
Composition / Monotone: people gathered near water

Fact: fishing net is net.
Composition / Monotone: people gathered near the water

Fact: fishing net is net
Composition / Monotone: there are people gathered by the water

",people are gathered by the water,5.0,2.0,2.0,2.0
a motorist gets some air over a rough hill,"Fact: bikes are used for riding.
Composition / Monotone: a motorist is riding his bike

Fact: bicycles are used for riding.
Composition / Monotone: a motorist is riding his bike

",a motorist is riding his bike,3.0,1.0,1.0,2.0
a man wearing a denim jacket and jeans welds on a bridge above water while wearing his safety mask,"Fact: person is a entity.
Composition / Monotone: a person wearing a denim jacket and jeans works on a bridge above water

",a clad in denim person works is working on a bridge outdoors,2.0,2.0,1.0,2.0
a man in tan pants is eating while sitting next to a plate and a pair of shoes,"Fact: a plate is a dish.
Composition / Monotone: the man is near food

",the man is near food,2.0,1.0,1.0,2.0
a young man wearing goggles is putting some liquid in a beaker while a young girl wearing blue gloves looks down while holding a pen,"Fact: people live in areas.
Composition / Monotone: two people are in the same area

",two people are in the same area,2.0,1.0,1.0,2.0
two teens trying to win a prize at a carnival,"Fact: teenagers are located in high schools.
Composition / Monotone: there are two people in this picture

Fact: adults and children are types of humans
Composition / Monotone: there are two humans

",two humans are outdoors,0.0,3.0,1.0,1.0
a man wearing dark jeans an orange shirt and an orange apron is next to a bunch of plants and flowers and a woman with a blue top,"Fact: woman is a somebody.
Composition / Monotone: two people are next to each other

Fact: woman is a someone.
Composition / Monotone: two people are next to each other

",two people are next to each other,3.0,1.0,1.0,2.0
a child in a maroon shirt playing next to a fountain,"Fact: fountain is a structure.
Composition / Monotone: there is a child playing

",the child is at play,2.0,1.0,0.0,2.0
a man is playing with his skateboard on a street,"Fact: legs are located in bodies.
Composition / Monotone: there is a man with legs

Fact: a type of street
Composition / Monotone: a man is using his legs

",a man is able to use his legs,0.0,2.0,2.0,1.0
3 cyclists are racing ahead of a red bmw with the leader wearing solid white helmet and black cycling pants,"Fact: leader is a person.
Composition / Monotone: there are people riding bicycles

",people re riding bicycles,2.0,1.0,0.0,2.0
a young man holding a microphone and singing,"Fact: singing is performing songs
Composition / Monotone: a man is performing a song

",a man is performing a song,2.0,1.0,1.0,2.0
a worker is on a cherry picker in a palm tree,"Fact: a worker is a person
Composition / Monotone: someone is working on a tree

",a person is messing with a tree,1.0,2.0,1.0,1.0
am man riding a very tall bicycle down the street past a large brick building,"Fact: a bicycle is for riding
Composition / Monotone: a man rides a bike outside

",a man rides a bike outside,2.0,1.0,1.0,2.0
a boy in a red jacket and balck hat sliding on his knees down a snowy hill,"Fact: a boy is a child
Composition / Monotone: a child is playing outside

Fact: a boy is a male child 
Composition / Monotone: a child is playing outside

",a child is playing outside,3.0,1.0,1.0,2.0
a musician playing his violin,"Fact: a violin is an instrument.
Composition / Monotone: a person playing an instrument

",a person is playing an instrument,2.0,1.0,1.0,2.0
two hussars sit perched on horses dressed in extravagant ceremonial wear each holding a sabre in their right hand reigns to the horse in their left,"Fact: people often like to ride horses.
Composition / Monotone: people riding animals

Fact: people keep horses.
Composition / Monotone: there are people on animals

Fact: some people own horses.
Composition / Monotone: there are people on animals

",two people are on some animals,3.0,1.0,1.0,1.0
a man puts his hands up while telling an amusing story to his friend with a beard,"Fact: having a conversation is for telling what happened
Composition / Monotone: the people are having a conversation

Fact: one of the things you do when you chat with friends is seek meaningful conversation.
Composition / Monotone: humans in conversation

Fact: having a conversation is for making friends
Composition / Monotone: people have a conversation with one another

",people share a conversation,4.0,4.0,2.0,2.0
a man standing on a street with a suitcase in front of him while another man bends down to look at what is displayed on top of it,"Fact: a street is for driving
Composition / Monotone: there are people on the street

Fact: a local road is a street
Composition / Monotone: people are on a road

",there are some people on a road,3.0,2.0,2.0,2.0
some people are standing in a room around a circular reception desk,"Fact: a desk is a piece of furniture
Composition / Monotone: people are around a piece of furniture indoors

Fact: desks are a kind of furniture.
Composition / Monotone: people are indoors near furniture

",multiple people are indoors near a piece of furniture,3.0,2.0,1.0,2.0
a man in a black shirt working on a guitar,"Fact: a guitar is a stringed musical instrument
Composition / Monotone: a man is working on an instrument

Fact: a guitar is a stringed instrument
Composition / Monotone: a guy works on an instrument

Fact: a guy is a man
Composition / Monotone: a guy works on an instrument

Fact: guitars are string instruments.
Composition / Monotone: a guy works on an instrument

",a guy working on his instrument,5.0,1.0,2.0,2.0
a man in the bucket of a cherypicker cuts down branches using a chainsaw at the end of a long pole,"Fact: tree branches break.
Composition / Monotone: the man is trimming trees

Fact: tree branches move.
Composition / Monotone: there is a man trimming trees

",a man is trimming trees,3.0,1.0,1.0,2.0
a young boy vocalizes in to a microphone held by a blond woman in black,"Fact: a singer can singing into a microphone
Composition / Monotone: the boy is singing

Fact: a person can singing into a microphone
Composition / Monotone: a boy singing

",a boy singing,3.0,1.0,2.0,2.0
a man dressed as an angel balances a woman dressed as an angel on his thighs while she hands out papers to people passing on the sidewalk,"Fact: leaflets have the ability to move.
Composition / Monotone: a man and a woman dressed as angels are on the sidewalk passing out leaflets to passerbys

Fact: some leaflets have edges.
Composition / Monotone: man and woman dressed like angels are passing out leaflets on the sidewalk

Fact: costumes are attire.
Composition / Monotone: two people in angel costumes are passing out leaflets on the sidewalk

Fact: thighs have (part) radicles.
Composition / Monotone: a couple dressed in angel costumes is passing out leaflets on the sidewalk

Fact: a couple is two.
Composition / Monotone: a couple dressed in angel costumes is passing out leaflets on the sidewalk

Fact: a couple can dressed for marriage
Composition / Monotone: a couple dressed in angel costumes are passing out leaflets on a sidewalk

Fact: people wear costumes on halloween.
Composition / Monotone: a couple wearing angel costumes are handing out leaflets on a sidewalk

",a couple dressed in angel costumes are handing out leaflets on the sidewalk,0.0,1.0,2.0,1.0
one man wearing a pink and blue striped shirt work gloves and holding a yellow hard hat,"Fact: a worker is a kind of person.
Composition / Monotone: a person in a shirt

",a person in a shirt,2.0,1.0,0.0,2.0
an old black man sitting on a couple of grocery crates playing the string guitar during the day,"Fact: a year is a very long time to a young child.  it goes by quite quickly for an older adult.
Composition / Monotone: a young child seems like an older adult

Fact: people count how long they have been married in years
Composition / Monotone: someone looks older than a child

Fact: couples often date from one to three years before getting engaged.
Composition / Monotone: someone appears to be older than a child

",someone who is visible is more than fifteen years old,0.0,2.0,0.0,0.0
a worker dressed in hazard orange facedown in an open street work,"Fact: a street has a name.
Composition / Monotone: a person is wearing orange

",a person is wearing orange,2.0,1.0,0.0,2.0
a little girl on a piece of playground equipment,"Fact: girl is a child.
Composition / Monotone: there is a child in this picture

Fact: a thing is one individual item.
Composition / Monotone: the kid is in the picture

Fact: a piece is a part
Composition / Monotone: a kid is in the picture

",a kid is doing a thing,0.0,1.0,3.0,1.0
blond women working wearing gloves,"Fact: gloves can protect the hands.
Composition / Monotone: a woman is working with her hands being protected

",a woman working with her hands protected from harm,2.0,2.0,1.0,2.0
a group of people in red clothing with scooters ride down the hill on rollerblades,"Fact: red is a color.
Composition / Monotone: several people are wearing red clothing

Fact: red is a kind of color
Composition / Monotone: there are several people wearing red

",there are several people wearng red,3.0,1.0,0.0,2.0
a person is squatting down near buckets holding something in one hand,"Fact: a bucket is a container.
Composition / Monotone: there are buckets

",there is more than one bucket,2.0,2.0,0.0,2.0
a brown dog and a black and white dog are running over grassy hills,"Fact: dogs are pets.
Composition / Monotone: two dogs are running

",two dogs run,2.0,1.0,0.0,2.0
two dogs are running next to each other on a grassy hill,"Fact: dogs are pets.
Composition / Monotone: there are animals outside

",there are animals outside,2.0,1.0,0.0,2.0
a young man holding a young woman in his arms as they get splashed by water shooting up from a fountain,"Fact: the right arm is on the right side of the body.
Composition / Monotone: two people are near a fountain

Fact: people drink water.
Composition / Monotone: the two people are in front of the fountain

Fact: an arm is for holding a hand
Composition / Monotone: there are two people in front of a fountain

Fact: people have two arms
Composition / Monotone: there are two people in front of a fountain

",two people are in front of a fountain,1.0,2.0,0.0,1.0
a bicyclist is attempting a trick on a wire in a tropical location,"Fact: a trick is a twist
Composition / Monotone: a person on a bike is on a wire

",a person on a bicycle has his bike situated on a wire,2.0,1.0,0.0,2.0
two kids in black trunks bouncing on a wet trampoline,"Fact: children are younger than adults 
Composition / Monotone: children play on trampolines

",children play on trampolines outdoors,1.0,2.0,1.0,1.0
numerous customers browsing for produce in a market,"Fact: shoppers are customers.
Composition / Monotone: people are shopping

Fact: customers are found in a shop
Composition / Monotone: people are shopping

",people are shopping,3.0,1.0,2.0,2.0
a boy wearing a shirt with an american flag plays with a basketball on the blacktop,"Fact: a shirt is a type of clothes
Composition / Monotone: a boy is wearing clothing

",a young male is wearing clothes,2.0,2.0,1.0,2.0
a brown dog persues a frisbee across the grass as the thrower watches,"Fact: playing frisbee is for playing in the park
Composition / Monotone: a dog plays in the park

",a dog plays in the park,2.0,1.0,1.0,2.0
a man with a white beard speaks into a microphone wearing a longsleeved gray button down shirt,"Fact: an audience is a crowd of people who gather for a performance.
Composition / Monotone: a man is speaking to a crowd

",a man is speaking to a crowd,0.0,1.0,1.0,1.0
a man in a gray coat is walking on a fallen tree trunk in a forest,"Fact: a guy is a man
Composition / Monotone: a guy walks on a fallen tree trunk

",a guy walks on a downed tree trunk,2.0,2.0,1.0,2.0
a crowd gathered on either side of a soap box derby with a single soap box car on the road track,"Fact: people can race cars
Composition / Monotone: the people are at a race

Fact: race cars are located in race tracks.
Composition / Monotone: people are at the race

",the people are at the race,3.0,1.0,2.0,2.0
two daschunds play with a red ball,"Fact: a dachshund is a dog
Composition / Monotone: two dogs playing

Fact: there are different breeds of dogs
Composition / Monotone: two different dogs are playing together

",two dogs playing together,1.0,3.0,1.0,2.0
a boy wearing a yellow shirt khaki pants and blue and yellow shoes is hitting a tennis ball off a wall with a tennis racket,"Fact: some examples of clothing are shirts, jeans, shorts, socks, shoes, sneakers, skirts, dresses, suits, or pants.
Composition / Monotone: a child is playing a sport

",a child in a colorful outfit holds a piece of sporting equipment and uses it to propel an orb against a vertical surface,1.0,2.0,1.0,2.0
a boy in an all blue uniform kicks a blue soccer ball in a grassy area,"Fact: a lawn is an area of grass
Composition / Monotone: the boy is playing in the grass

Fact: a lawn is a area of grassy ground
Composition / Monotone: a boy is playing in the grass

Fact: grass is located in lawns.
Composition / Monotone: a boy is playing in the grass

",a boy is playing in the grass,4.0,1.0,0.0,2.0
a young boy learns how to ride a horse,"Fact: a horse is a kind of animal.
Composition / Monotone: a child rides an animal

Fact: horse is an animal.
Composition / Monotone: a child on an animal

Fact: a horse is a modern animal
Composition / Monotone: there is a child on an animal

Fact: a boy is a child
Composition / Monotone: the child is a child on the animal

Fact: a boy is a young human.
Composition / Monotone: a child sits on an animal

",a child sits on the animals back,3.0,2.0,2.0,2.0
a man wearing shorts looks at his cellphone while a woman walks outside a small building,"Fact: woman is a someone.
Composition / Monotone: the people are not female

",there are multiple people present,0.0,2.0,0.0,2.0
the wind propels a sailing ship on a group of cruisers,"Fact: boats are used for sailing.
Composition / Monotone: there are many boats on the water

",there are many boats out,2.0,2.0,1.0,2.0
an older balding man with glasses wearing a pink and white shirt with a sweater vest is playing a musical instrument while looking at the sheet music,"Fact: glasses can make you cool looking.
Composition / Monotone: the man has hair

Fact: these glasses is for humor
Composition / Monotone: the man has some hair

",the man has little hair,0.0,1.0,1.0,1.0
a silhouette stands at the top of a bowling lane as the ball is about to impact the pins while neon lights race overhead,"Fact: of the many places a lane may be, one is in a bowling alley.
Composition / Monotone: someone is at a bowling alley

",someone is in a bowling alley,2.0,1.0,1.0,2.0
artist on street corner selling his artwork,"Fact: paintings is created by artists.
Composition / Monotone: someone is selling paintings

Fact: some artists create paintings.
Composition / Monotone: someone is selling paintings

Fact: artists know for paintings.
Composition / Monotone: someone is selling paintings

",someone is selling paintings,0.0,1.0,1.0,1.0
a crowd gathered around a young man who is performing,"Fact: an audience is a crowd of people who gather for a performance.
Composition / Monotone: the people are at a performance

Fact: humans are located in performance.
Composition / Monotone: people are at a performance

Fact: an audience is a gathering of people with the purpose of watching a performance
Composition / Monotone: people are at a performance

",they are at a performance,4.0,1.0,2.0,2.0
a cyclist in a red and white uniform is biking across a garage full of people,"Fact: garage is a building.
Composition / Monotone: a man rides a bicycle

",there is a man riding a bicycle,2.0,1.0,1.0,2.0
a golfer shoots his ball out of a sand trap,"Fact: human beings play games with balls.
Composition / Monotone: golfers playing golf

Fact: a ball is used for playing a game
Composition / Monotone: the game of golf is being played

Fact: golfers play the game of golf
Composition / Monotone: golf is a game being played

Fact: golfers are people who play the game of golf
Composition / Monotone: golf is a game being played

",the game of golf being played,5.0,2.0,4.0,2.0
a young family enjoys feeling ocean waves lap at their feet,"Fact: ocean waves approach beaches.
Composition / Monotone: a family is at a beach

",a family is at the beach,1.0,1.0,0.0,2.0
3 young man in hoods standing in the middle of a quiet street facing the camera,"Fact: black people with a lot of words
Composition / Monotone: 3 people in hoods face the camera

Fact: a camera is for taking a picture
Composition / Monotone: three people in hoods pose for a picture

Fact: a camera takes pictures
Composition / Monotone: three people in hoods pose for a picture

",three hood wearing people pose for a picture,0.0,2.0,2.0,2.0
a man standing in front of a building on the phone as two men to the side pain on the side,"Fact: if we are men we a are guys
Composition / Monotone: two other guys are next to the guy standing in front of the building

",a guy near a building stands by two other men,1.0,1.0,1.0,2.0
three boys in white shirts are walking behind an older model ford car,"Fact: cars are located in street corners.
Composition / Monotone: there are several boys on the street

",the boys are on the street,1.0,1.0,1.0,1.0
a professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land,"Fact: a hand is part of the arm
Composition / Monotone: a person is swimming

",a person is swimming,1.0,1.0,0.0,2.0
five girls and two guys are crossing a overpass,"Fact: guys meet girls.
Composition / Monotone: there are people outdoors

Fact: girls see guys.
Composition / Monotone: there are people outside

",there are people outside,2.0,1.0,0.0,2.0
a man of the cloth puts a black substance on a mans forehead,"Fact: a forehead is part of a head.
Composition / Monotone: a man puts something on another mans head

Fact: a forehead is part of a head
Composition / Monotone: a man puts something on the other mans head

",the man puts something on the other mans head,2.0,1.0,1.0,2.0
a group of adults stands in the bathroom looking down a small child in the bath,"Fact: people can join  a group
Composition / Monotone: people are inside the house

",people are in the house,1.0,1.0,0.0,2.0
a man woman and child get their picture taken in front of the mountains,"Fact: a family can plan a vacation
Composition / Monotone: a family gets their picture taken on vacation

Fact: the family can plan to go on vacation
Composition / Monotone: a family has a picture taken on vacation

",a family on vacation is posing,0.0,1.0,0.0,0.0
a dog standing near snow looking at water,"Fact: dog is a type of animal.
Composition / Monotone: the animal is outdoors

Fact: a dog is a kind of animal
Composition / Monotone: the animal is outdoors

",animal is outdoors,2.0,1.0,1.0,2.0
the american footballer in yellow catches the ball whilst under pressure from the payer in white,"Fact: a duress is a force
Composition / Monotone: the football player is under duress

",the football player is under duress,1.0,1.0,0.0,2.0
a biker races,"Fact: a riding is a sport
Composition / Monotone: a person is riding a bike

",a person is riding a bike,1.0,1.0,0.0,2.0
island native fishermen reeling in their nets after a long days work,"Fact: today is the day it is right now
Composition / Monotone: the native fishermen are finishing their days work

",the men are finishing their day of work,1.0,1.0,0.0,2.0
young woman is putting her clothes in the dryer portion of a double stacked washer and dryer unit,"Fact: a lady is a woman
Composition / Monotone: a woman is drying clothes

Fact: lady is a woman.
Composition / Monotone: a person drying clothes

",a person drying clothes,2.0,2.0,0.0,2.0
everyone on the street in the city seem to be busy doing their own thing,"Fact: stores are business.
Composition / Monotone: people are doing business in the city

",people are conducting business in the city,1.0,1.0,0.0,2.0
a man in an apron smiles as he pokes a frying donut with a little metal stick,"Fact: donut is a cake.
Composition / Monotone: the man is cooking

Fact: a donut is made of deep-fried dough and sugar.
Composition / Monotone: the man is cooking

Fact: donuts are in the shpae of a ring.
Composition / Monotone: the man cooks food

",the man is cooking food,3.0,1.0,0.0,1.0
a guy and a girl look down a mountain range,"Fact: take the time to look around
Composition / Monotone: people are looking at the mountains

",the people look at the mountains,1.0,1.0,0.0,2.0
a standing man talks to a seated woman while on some sort of vehicle,"Fact: a car can seat people.
Composition / Monotone: two people are talking

",two people are talking,1.0,1.0,0.0,2.0
a woman in a black outfit lies face first on a yoga mat several paintings are hanged on the wall and the sun shines through a large window near her,"Fact: a window can be found in a house.
Composition / Monotone: a person is indoors

Fact: a wall is part of a room.
Composition / Monotone: a person is in a room

",there is a person in a room,2.0,2.0,2.0,2.0
a woman in a brown shirt is kneeling in the street,"Fact: ground is sites.
Composition / Monotone: a woman is on the ground

Fact: a hole in the ground
Composition / Monotone: a woman is on the ground outside

",a woman is on the ground outside,1.0,2.0,0.0,2.0
the woman in the black shirt hands papers to the children surrounding her,"Fact: children use alot of paper.
Composition / Monotone: a woman giving paper

",someone giving out paper,1.0,1.0,0.0,2.0
